businessid,target_schemes_count,milestones_achieved_count,total_jc_earned
BZID-1304457938,2,1,200.000000
BZID-1304461247,4,4,335.000000
BZID-1304424967,2,2,470.000000
BZID-1304477914,3,1,135.000000
BZID-1304459589,5,5,1075.000000
BZID-1304470417,3,3,595.000000
BZID-1304457305,3,1,15.000000
BZID-1304419508,4,3,425.000000
BZID-1304462661,5,1,200.000000
BZID-1304435062,1,0,0.000000
BZID-1304472854,2,1,135.000000
BZID-1304430090,2,1,270.000000
BZID-1304465527,2,0,0.000000
BZID-1304473834,3,1,270.000000
BZID-1304432570,5,2,400.000000
BZID-1304422292,2,2,1270.000000
BZID-1304471989,6,3,340.000000
BZID-1304422519,2,2,1270.000000
BZID-1304458509,3,0,0.000000
BZID-1304474544,3,2,540.000000
BZID-1304438841,3,1,200.000000
BZID-1304472222,3,1,15.000000
BZID-1304393140,5,5,540.000000
BZID-1304426087,9,6,1290.000000
BZID-1304428213,3,1,135.000000
BZID-1304435155,2,0,0.000000
BZID-1304407895,2,1,270.000000
BZID-1304431925,3,0,0.000000
BZID-1304423097,4,2,335.000000
BZID-1304470508,2,1,925.000000
BZID-1304411308,2,1,135.000000
BZID-1304424745,4,3,355.000000
BZID-1304406920,2,2,510.000000
BZID-1304467836,3,2,630.000000
BZID-1304459088,9,6,1380.000000
BZID-1304418227,6,4,810.000000
BZID-1304476655,3,1,615.000000
BZID-1304373408,2,2,495.000000
BZID-1304464476,3,2,150.000000
BZID-1304376203,2,1,225.000000
BZID-1304449807,2,2,1325.000000
BZID-1304449070,2,0,0.000000
BZID-1304379153,2,2,425.000000
BZID-1304377820,2,0,0.000000
BZID-1304461801,4,1,125.000000
BZID-1304399776,2,1,125.000000
BZID-1304477623,5,0,0.000000
BZID-1304446426,3,2,320.000000
BZID-1304471691,2,1,200.000000
BZID-1304402920,2,1,375.000000
BZID-1304464372,7,4,530.000000
BZID-1304363241,3,0,0.000000
BZID-1304431158,8,5,660.000000
BZID-1304418323,3,2,540.000000
BZID-1304417910,2,0,0.000000
BZID-1304469852,3,1,125.000000
BZID-1304456194,4,1,20.000000
BZID-1304432107,5,5,1025.000000
BZID-1304469285,2,0,0.000000
BZID-1304438457,2,0,0.000000
BZID-1304463765,6,4,825.000000
BZID-1304467775,5,3,220.000000
BZID-1304416877,6,3,670.000000
BZID-1304476581,2,1,270.000000
BZID-1304448025,8,4,295.000000
BZID-1304464989,3,2,395.000000
BZID-1304435873,3,0,0.000000
BZID-1304432567,4,2,70.000000
BZID-1304470823,6,1,5.000000
BZID-1304480146,4,2,80.000000
BZID-1304464975,7,2,10.000000
BZID-1304441602,2,0,0.000000
BZID-1304477674,5,4,725.000000
BZID-1304457256,7,1,5.000000
BZID-1304461545,3,2,45.000000
BZID-1304476338,5,2,10.000000
BZID-1304441557,5,2,125.000000
BZID-1304465149,3,2,785.000000
BZID-1304427365,2,0,0.000000
BZID-1304444196,3,0,0.000000
BZID-1304475728,5,2,250.000000
BZID-1304464856,7,6,1140.000000
BZID-1304432697,4,2,155.000000
BZID-1304457405,5,2,10.000000
BZID-1304460251,2,2,705.000000
BZID-1304462362,5,2,270.000000
BZID-1304418339,2,1,270.000000
BZID-1304475662,6,1,15.000000
BZID-1304472844,2,0,0.000000
BZID-1304461997,3,0,0.000000
BZID-1304463448,3,2,635.000000
BZID-1304475855,8,4,130.000000
BZID-1304475182,3,2,475.000000
BZID-1304428625,4,3,1235.000000
BZID-1304480012,5,3,715.000000
BZID-1304459661,4,0,0.000000
BZID-1304458948,5,5,1055.000000
BZID-1304466816,3,0,0.000000
BZID-1304476910,2,0,0.000000
BZID-1304457423,7,5,810.000000
BZID-1304479339,8,7,2485.000000
BZID-1304462496,5,1,5.000000
BZID-1304399860,5,5,1040.000000
BZID-1304456357,3,2,470.000000
BZID-1304470464,5,3,50.000000
BZID-1304460361,9,7,720.000000
BZID-1304466783,6,6,7425.000000
BZID-1304469514,6,3,105.000000
BZID-1304446025,6,3,105.000000
BZID-1304352092,1,0,0.000000
BZID-1304428333,2,2,1035.000000
BZID-1304463501,6,2,55.000000
BZID-1304455014,4,4,1035.000000
BZID-1304447183,4,3,1245.000000
BZID-1304423403,5,3,1355.000000
BZID-1304469806,4,1,5.000000
BZID-1304476460,2,0,0.000000
BZID-1304448211,2,2,785.000000
BZID-1304464804,5,2,15.000000
BZID-1304433560,2,2,785.000000
BZID-1304480036,2,2,1850.000000
BZID-1304457203,3,1,200.000000
BZID-1304433513,3,1,200.000000
BZID-1304434334,1,0,0.000000
BZID-1304472268,3,0,0.000000
BZID-1304461455,2,0,0.000000
BZID-1304471822,3,1,50.000000
BZID-1304443569,3,2,700.000000
BZID-1304479029,2,0,0.000000
BZID-1304460584,3,3,595.000000
BZID-1304460463,4,0,0.000000
BZID-1304477576,4,3,1450.000000
BZID-1304450138,3,3,595.000000
BZID-1304407786,5,5,990.000000
BZID-1304480015,3,1,200.000000
BZID-1304461583,6,2,35.000000
BZID-1304475709,3,2,955.000000
BZID-1304479639,2,0,0.000000
BZID-1304464899,5,2,20.000000
BZID-1304473196,3,1,50.000000
BZID-1304393496,3,2,630.000000
BZID-1304474619,3,0,0.000000
BZID-1304444968,7,1,5.000000
BZID-1304470736,3,0,0.000000
BZID-1304478938,2,1,615.000000
BZID-1304467333,2,1,135.000000
BZID-1304407901,2,1,200.000000
BZID-1304433214,4,2,355.000000
BZID-1304469698,2,1,615.000000
BZID-1304475148,5,4,1910.000000
BZID-1304473216,3,3,520.000000
BZID-1304461529,2,0,0.000000
BZID-1304476730,2,1,1400.000000
BZID-1304457567,2,0,0.000000
BZID-1304464471,2,2,955.000000
