businessid,null_search_cnt
BZID-1304352469,6
BZID-1304352470,8
BZID-1304352471,1
BZID-1304352473,46
BZID-1304352474,3
BZID-1304352481,1
BZID-1304352482,2
BZID-1304352483,4
BZID-1304352498,12
BZID-1304352499,1
BZID-1304352501,1
BZID-1304352504,2
BZID-1304352505,3
BZID-1304352507,1
BZID-1304352509,8
BZID-1304352517,2
BZID-1304352518,1
BZID-1304352519,1
BZID-1304352522,14
BZID-1304352528,4
BZID-1304352533,1
BZID-1304352534,2
BZID-1304352536,4
BZID-1304352537,5
BZID-1304352540,1
BZID-1304352543,4
BZID-1304352544,4
BZID-1304352547,22
BZID-1304352549,4
BZID-1304352553,4
BZID-1304352561,12
BZID-1304352562,1
BZID-1304352564,9
BZID-1304352565,2
BZID-1304352568,10
BZID-1304352571,4
BZID-1304352572,12
BZID-1304352574,2
BZID-1304352575,1
BZID-1304352596,1
BZID-1304352601,5
BZID-1304352606,5
BZID-1304352610,2
BZID-1304352612,2
BZID-1304352615,23
BZID-1304352623,2
BZID-1304352628,6
BZID-1304352629,1
BZID-1304352630,3
BZID-1304352639,2
BZID-1304352640,5
BZID-1304352642,1
BZID-1304352643,1
BZID-1304352645,1
BZID-1304352652,6
BZID-1304352655,20
BZID-1304352656,1
BZID-1304352660,1
BZID-1304352662,11
BZID-1304352666,10
BZID-1304352667,12
BZID-1304352673,1
BZID-1304352675,2
BZID-1304352678,1
BZID-1304352680,6
BZID-1304352681,47
BZID-1304352683,16
BZID-1304352685,8
BZID-1304352688,2
BZID-1304352693,3
BZID-1304352695,2
BZID-1304352696,2
BZID-1304352697,1
BZID-1304352701,10
BZID-1304352702,2
BZID-1304352706,1
BZID-1304352709,1
BZID-1304352712,8
BZID-1304352717,1
BZID-1304352718,1
BZID-1304352722,5
BZID-1304352725,1
BZID-1304352726,7
BZID-1304352727,1
BZID-1304352729,2
BZID-1304352736,3
BZID-1304352738,2
BZID-1304352740,2
BZID-1304352741,2
BZID-1304352744,1
BZID-1304352745,2
BZID-1304352746,10
BZID-1304352749,1
BZID-1304352750,4
BZID-1304352751,1
BZID-1304352753,5
BZID-1304352754,5
BZID-1304352755,4
BZID-1304352757,9
BZID-1304352760,3
BZID-1304352761,43
BZID-1304352762,15
BZID-1304352764,5
BZID-1304352768,3
BZID-1304352769,13
BZID-1304352775,1
BZID-1304352785,1
BZID-1304352791,1
BZID-1304352797,2
BZID-1304352801,1
BZID-1304352802,5
BZID-1304352805,2
BZID-1304352806,1
BZID-1304352807,3
BZID-1304352808,2
BZID-1304352809,3
BZID-1304352817,8
BZID-1304352819,1
BZID-1304352821,1
BZID-1304352825,6
BZID-1304352828,3
BZID-1304352830,1
BZID-1304352838,24
BZID-1304352841,1
BZID-1304352853,1
BZID-1304352855,1
BZID-1304352865,7
BZID-1304352869,17
BZID-1304352871,5
BZID-1304352872,7
BZID-1304352873,1
BZID-1304352878,2
BZID-1304352880,1
BZID-1304352883,3
BZID-1304352886,1
BZID-1304352888,4
BZID-1304352895,1
BZID-1304352901,1
BZID-1304352908,1
BZID-1304352911,2
BZID-1304352912,7
BZID-1304352916,2
BZID-1304352917,10
BZID-1304352918,3
BZID-1304352920,2
BZID-1304352922,2
BZID-1304352924,5
BZID-1304352926,19
BZID-1304352928,1
BZID-1304352929,1
BZID-1304352930,3
BZID-1304352932,1
BZID-1304352933,1
BZID-1304352935,8
BZID-1304352937,3
BZID-1304352938,1
BZID-1304352940,4
BZID-1304352943,9
BZID-1304352946,16
BZID-1304352947,2
BZID-1304352951,2
BZID-1304352953,4
BZID-1304352956,5
BZID-1304352957,2
BZID-1304352959,3
BZID-1304352960,1
BZID-1304352961,10
BZID-1304352964,5
BZID-1304352969,25
BZID-1304352970,3
BZID-1304352971,2
BZID-1304352972,3
BZID-1304352977,1
BZID-1304352978,2
BZID-1304352988,4
BZID-1304352993,3
BZID-1304352996,8
BZID-1304353010,5
BZID-1304353020,1
BZID-1304353021,7
BZID-1304353023,12
BZID-1304353043,18
BZID-1304353045,1
BZID-1304353047,6
BZID-1304353058,2
BZID-1304353062,2
BZID-1304353066,1
BZID-1304353071,3
BZID-1304353089,7
BZID-1304353096,1
BZID-1304353110,4
BZID-1304353116,6
BZID-1304353117,4
BZID-1304353131,1
BZID-1304353134,1
BZID-1304353153,2
BZID-1304353156,2
BZID-1304353157,3
BZID-1304353161,13
BZID-1304353164,2
BZID-1304353165,3
BZID-1304353167,1
BZID-1304353169,1
BZID-1304353173,1
BZID-1304353175,4
BZID-1304353177,2
BZID-1304353179,17
BZID-1304353181,6
BZID-1304353183,14
BZID-1304353190,4
BZID-1304353194,4
BZID-1304353197,2
BZID-1304353214,1
BZID-1304353220,6
BZID-1304353221,18
BZID-1304353222,8
BZID-1304353224,1
BZID-1304353227,4
BZID-1304353228,1
BZID-1304353229,8
BZID-1304353230,2
BZID-1304353232,1
BZID-1304353233,1
BZID-1304353244,2
BZID-1304353245,22
BZID-1304353251,9
BZID-1304353256,6
BZID-1304353257,4
BZID-1304353258,1
BZID-1304353260,1
BZID-1304353261,2
BZID-1304353267,3
BZID-1304353268,12
BZID-1304353270,7
BZID-1304353273,4
BZID-1304353274,2
BZID-1304353275,9
BZID-1304353276,4
BZID-1304353279,1
BZID-1304353282,1
BZID-1304353285,3
BZID-1304353289,4
BZID-1304353292,1
BZID-1304353293,1
BZID-1304353294,15
BZID-1304353295,4
BZID-1304353297,1
BZID-1304353306,1
BZID-1304353307,1
BZID-1304353309,2
BZID-1304353311,3
BZID-1304353319,2
BZID-1304353322,2
BZID-1304353325,5
BZID-1304353329,1
BZID-1304353331,1
BZID-1304353332,1
BZID-1304353333,4
BZID-1304353334,2
BZID-1304353338,3
BZID-1304353339,20
BZID-1304353346,1
BZID-1304353352,2
BZID-1304353354,1
BZID-1304353356,2
BZID-1304353358,2
BZID-1304353359,2
BZID-1304353364,2
BZID-1304353365,1
BZID-1304353369,3
BZID-1304353376,1
BZID-1304353378,1
BZID-1304353380,2
BZID-1304353381,1
BZID-1304353383,9
BZID-1304353389,4
BZID-1304353391,2
BZID-1304353399,5
BZID-1304353401,1
BZID-1304353405,1
BZID-1304353407,1
BZID-1304353412,1
BZID-1304353414,4
BZID-1304353415,1
BZID-1304353417,10
BZID-1304353420,2
BZID-1304353427,8
BZID-1304353432,6
BZID-1304353435,1
BZID-1304353436,2
BZID-1304353442,1
BZID-1304353445,1
BZID-1304353446,1
BZID-1304353447,17
BZID-1304353452,5
BZID-1304353455,5
BZID-1304353456,1
BZID-1304353458,1
BZID-1304353459,4
BZID-1304353460,1
BZID-1304353462,8
BZID-1304353465,21
BZID-1304353469,2
BZID-1304353472,1
BZID-1304353476,1
BZID-1304353478,2
BZID-1304353481,2
BZID-1304353482,2
BZID-1304353486,2
BZID-1304353487,1
BZID-1304353489,5
BZID-1304353490,29
BZID-1304353498,3
BZID-1304353502,3
BZID-1304353504,2
BZID-1304353507,2
BZID-1304353508,1
BZID-1304353510,5
BZID-1304353513,7
BZID-1304353515,2
BZID-1304353518,3
BZID-1304353520,6
BZID-1304353532,5
BZID-1304353533,4
BZID-1304353535,12
BZID-1304353537,4
BZID-1304353539,4
BZID-1304353543,2
BZID-1304353544,1
BZID-1304353554,9
BZID-1304353563,5
BZID-1304353565,2
BZID-1304353568,3
BZID-1304353571,1
BZID-1304353573,3
BZID-1304353576,2
BZID-1304353578,1
BZID-1304353581,1
BZID-1304353587,3
BZID-1304353589,4
BZID-1304353592,2
BZID-1304353593,2
BZID-1304353594,2
BZID-1304353597,1
