businessid,total_visits
BZID-1304387472,1
BZID-1304437026,1
BZID-1304394906,1
BZID-1304401791,1
BZID-1304398193,1
BZID-1304430233,1
BZID-1304413629,1
BZID-1304409637,1
BZID-1304444039,1
BZID-1304423857,1
BZID-1304370732,1
BZID-1304422757,1
BZID-1304429757,2
BZID-1304410294,2
BZID-1304404429,1
BZID-1304402162,1
BZID-1304458193,1
BZID-1304430061,1
BZID-1304430464,1
BZID-1304422333,1
BZID-1304409801,1
BZID-1304377683,1
BZID-1304416475,1
BZID-1304475322,1
BZID-1304423372,1
BZID-1304370496,1
BZID-1304393497,1
BZID-1304458675,1
BZID-1304420647,1
BZID-1304439109,1
BZID-1304392099,1
BZID-1304407048,1
BZID-1304416132,2
BZID-1304407551,1
BZID-1304384930,1
BZID-1304407791,2
BZID-1304400881,1
BZID-1304368119,1
BZID-1304425305,1
BZID-1304412249,1
BZID-1304415012,1
BZID-1304420332,1
BZID-1304375941,1
BZID-1304406379,1
BZID-1304415191,1
BZID-1304423171,1
BZID-1304362425,1
BZID-1304408855,1
BZID-1304449548,1
BZID-1304463914,1
BZID-1304439115,1
BZID-1304454461,1
BZID-1304375866,1
BZID-1304396722,1
BZID-1304479688,1
BZID-1304411487,1
BZID-1304357177,1
BZID-1304350280,1
BZID-1304479995,1
BZID-1304424897,1
BZID-1304392763,1
BZID-1304454954,1
BZID-1304419533,1
BZID-1304397322,1
BZID-1304364385,1
BZID-1304427088,1
BZID-1304461735,1
BZID-1304408433,1
BZID-1304405160,1
BZID-1304443728,1
BZID-1304458474,1
BZID-1304444567,1
BZID-1304382090,1
BZID-1304475606,1
BZID-1304379051,1
BZID-1304449949,1
BZID-1304460815,1
BZID-1304438056,1
BZID-1304394376,1
BZID-1304446876,1
BZID-1304469522,1
BZID-1304395203,1
BZID-1304403062,1
BZID-1304425080,1
BZID-1304463069,1
BZID-1304387148,1
BZID-1304392690,1
BZID-1304463923,1
BZID-1304375754,1
BZID-1304407816,1
BZID-1304388906,1
BZID-1304603611,1
BZID-1304464760,1
BZID-1304461126,1
BZID-1304409835,2
BZID-1304452941,1
BZID-1304410427,1
BZID-1304402642,2
BZID-1304380757,1
BZID-1304406859,1
BZID-1304429893,1
BZID-1304398421,1
BZID-1304437913,1
BZID-1304425982,1
BZID-1304429488,1
BZID-1304381165,2
BZID-1304422468,2
BZID-1304384364,1
BZID-1304402428,2
BZID-1304430125,2
BZID-1304359746,2
BZID-1304405096,1
BZID-1304465470,3
BZID-1304377122,2
BZID-1304381296,2
BZID-1304405220,1
BZID-1304428041,3
BZID-1304373325,1
BZID-1304400184,1
BZID-1304393550,2
BZID-1304357233,1
BZID-1304462448,1
BZID-1304423000,1
BZID-1304460799,3
BZID-1304422357,3
BZID-1304427448,1
BZID-1304381930,2
BZID-1304412138,1
BZID-1304460274,1
BZID-1304372162,1
BZID-1304399554,1
BZID-1304417701,2
BZID-1304367971,1
BZID-1304391131,9
