businessid,cta_dt_cnt,ppv_plv_dt_cnt,atc_dt_cnt
BZID-1304421698,41,36,11
BZID-1304469051,57,52,24
BZID-1304354929,42,36,11
BZID-1304404677,10,9,6
BZID-1304477244,60,59,54
BZID-1304474959,59,50,35
BZID-1304362986,48,26,21
BZID-1304399304,56,55,27
BZID-1304605632,16,13,11
BZID-1304367595,54,52,28
BZID-1304466460,48,36,34
BZID-1304372181,38,33,17
BZID-1304420859,49,42,27
BZID-1304428763,58,52,37
BZID-1304352543,60,54,40
BZID-1304563382,20,19,11
BZID-1304562505,32,31,26
BZID-1304385529,56,52,34
BZID-1304432562,38,35,20
BZID-1304401753,57,57,34
BZID-1304611171,30,25,10
BZID-1304427621,62,60,46
BZID-1304575227,9,9,0
BZID-1304370556,10,10,2
BZID-1304428458,41,40,11
BZID-1304606751,50,42,26
BZID-1304419067,32,22,9
BZID-1304478336,61,56,38
BZID-1304598587,62,59,42
BZID-1304362853,40,40,14
BZID-1304369562,39,38,25
BZID-1304410450,8,7,5
BZID-1304418433,61,53,42
BZID-1304433978,37,19,12
BZID-1304466170,61,56,54
BZID-1304458031,23,11,6
BZID-1304426359,39,31,18
BZID-1304597770,48,46,3
BZID-1304562669,1,1,1
BZID-1304394049,45,36,24
BZID-1304373452,62,56,39
BZID-1304442871,51,22,21
BZID-1304575025,24,21,12
BZID-1304420764,23,19,17
BZID-1304424477,3,2,0
BZID-1304438157,2,2,1
BZID-1304474362,61,54,39
BZID-1304404579,18,15,1
BZID-1304577741,52,52,13
BZID-1304408130,57,43,36
BZID-1304422157,56,36,24
BZID-1304372614,53,42,33
BZID-1304465392,55,44,29
BZID-1304390325,3,3,0
BZID-1304562898,10,9,5
BZID-1304414066,37,31,24
BZID-1304471497,41,35,3
BZID-1304425065,45,42,25
BZID-1304376079,57,50,45
BZID-1304382063,36,25,15
BZID-1304403239,63,62,44
BZID-1304378658,31,30,15
BZID-1304406098,63,63,44
BZID-1304600590,45,43,18
BZID-1304594903,8,6,1
BZID-1304462644,52,39,32
BZID-1304465424,34,17,8
BZID-1304385340,26,17,12
BZID-1304378298,43,35,30
BZID-1304387335,47,32,19
BZID-1304359809,56,56,27
BZID-1304437234,63,61,49
BZID-1304376753,49,47,14
BZID-1304428137,63,63,63
BZID-1304380159,61,60,39
BZID-1304438283,40,31,10
BZID-1304474890,26,15,10
BZID-1304403242,39,27,12
BZID-1304463206,57,53,48
BZID-1304430763,63,56,44
BZID-1304441292,58,50,41
BZID-1304464641,63,58,36
BZID-1304388243,59,57,29
BZID-1304402144,10,9,0
BZID-1304463946,62,62,60
BZID-1304424587,53,51,45
BZID-1304431236,57,46,43
BZID-1304576849,29,27,15
BZID-1304480077,36,27,19
BZID-1304430789,18,12,9
BZID-1304415683,53,43,28
BZID-1304360896,33,13,6
BZID-1304430228,62,43,37
BZID-1304408781,46,40,29
BZID-1304388266,52,48,23
BZID-1304471328,41,35,8
BZID-1304424908,7,5,4
BZID-1304396303,62,60,54
BZID-1304457273,59,52,7
BZID-1304562210,19,17,2
BZID-1304448040,58,57,43
BZID-1304413119,61,58,22
BZID-1304423712,59,50,33
BZID-1304404123,53,51,25
BZID-1304382222,57,52,31
BZID-1304608259,52,16,9
BZID-1304466728,37,24,14
BZID-1304400624,63,61,45
BZID-1304469030,40,36,31
BZID-1304409478,62,60,43
BZID-1304465317,52,24,18
BZID-1304436549,61,60,45
BZID-1304476260,63,58,49
BZID-1304421814,15,14,8
BZID-1304460323,32,30,19
BZID-1304408358,15,12,8
BZID-1304416983,52,46,35
BZID-1304606627,27,25,7
BZID-1304415869,11,9,2
BZID-1304400069,36,26,12
BZID-1304384740,24,22,7
BZID-1304473947,44,28,24
BZID-1304466350,55,45,29
BZID-1304360479,48,47,2
BZID-1304392676,8,6,3
BZID-1304391456,61,59,36
BZID-1304410312,37,34,21
BZID-1304446747,23,11,3
BZID-1304395762,63,59,28
BZID-1304421573,59,53,43
BZID-1304392390,24,20,15
BZID-1304437700,35,30,7
BZID-1304604308,55,50,33
BZID-1304367016,49,47,8
BZID-1304397881,14,13,6
BZID-1304408646,49,34,28
BZID-1304563858,10,10,3
BZID-1304370711,52,49,13
BZID-1304395552,31,13,8
BZID-1304361203,61,60,42
BZID-1304407164,50,42,42
BZID-1304376024,55,41,23
BZID-1304609092,59,56,22
BZID-1304388828,21,7,4
BZID-1304598205,54,48,21
BZID-1304368797,42,40,17
BZID-1304597758,25,16,12
BZID-1304437326,30,27,11
BZID-1304380387,34,33,15
BZID-1304411202,44,34,17
BZID-1304400936,62,57,50
BZID-1304411575,41,25,17
BZID-1304379253,44,34,17
BZID-1304595301,43,40,18
BZID-1304567907,1,2,0
BZID-1304352748,53,50,42
BZID-1304480154,32,20,17
BZID-1304359370,52,43,21
BZID-1304478621,63,61,48
BZID-1304439934,44,36,24
BZID-1304456578,61,58,56
BZID-1304438710,63,61,59
BZID-1304479817,33,18,12
BZID-1304430428,3,3,2
BZID-1304469179,44,30,17
